"modell";"phase";"startelement";"connection";"end_element";"klassifikation"
"gemm4_e4b";"1";"Goal Providing most energy-efficient heating solution in market";"requires";"Attribute Energy-efficiency";"2"
"gemm4_e4b";"1";"Goal Providing most energy-efficient heating solution in market";"requires";"Concept Specification Document";"1"
"gemm4_e4b";"1";"Goal Providing most energy-efficient heating solution in market";"motivates";"Concept Target Feature";"1"
"gemm4_e4b";"1";"Goal Providing most energy-efficient heating solution in market";"motivates";"Process target setting";"1"
"gemm4_e4b";"1";"Goal Providing most energy-efficient heating solution in market";"motivates";"Process define the product specification";"1"
"gemm4_e4b";"1";"Goal Providing most energy-efficient heating solution in market";"requires";"Information Set customer survey";"0"
"gemm4_e4b";"1";"Goal Providing most energy-efficient heating solution in market";"requires";"Information Set target features";"1"
"gemm4_e4b";"1";"Goal Providing most energy-efficient heating solution in market";"requires";"Information Set specification document";"1"
"gemm4_e4b";"1";"Goal Providing most energy-efficient heating solution in market";"Defined by";"Feature energy-efficient";"2"
"gemm4_e4b";"1";"Problem Energy consumption of current product version is too high";"Defined by";"Attribute Energy consumption";"2"
"gemm4_e4b";"1";"Problem Energy consumption of current product version is too high";"requires";"Concept Target Feature";"0"
"gemm4_e4b";"1";"Problem Energy consumption of current product version is too high";"requires";"Concept Specification Document";"0"
"gemm4_e4b";"1";"Problem Energy consumption of current product version is too high";"motivates";"Process target setting";"1"
"gemm4_e4b";"1";"Problem Energy consumption of current product version is too high";"motivates";"Process define the product specification";"1"
"gemm4_e4b";"1";"Problem Energy consumption of current product version is too high";"requires";"Information Set target features";"1"
"gemm4_e4b";"1";"Problem Energy consumption of current product version is too high";"requires";"Information Set specification document";"1"
"gemm4_e4b";"1";"Problem Energy consumption of current product version is too high";"motivates";"IS Technical Component Production system";"0"
"gemm4_e4b";"1";"Problem Energy consumption of current product version is too high";"motivates";"IS Technical Component Version management system";"0"
"gemm4_e4b";"1";"Problem Energy consumption of current product version is too high";"Hinders";"Feature energy-efficient";"1"
"gemm4_e4b";"1";"Role Product Owner";"is responsible for";"Unspecific/Product/Service Smart Heat";"2"
"gemm4_e4b";"1";"Role Product Owner";"is responsible for";"Feature energy-efficient";"1"
"gemm4_e4b";"1";"Process target setting";"uses";"IS Technical Component Production system";"1"
"gemm4_e4b";"1";"Process define the product specification";"creates";"Concept Product";"0"
"gemm4_e4b";"1";"Process define the product specification";"Output";"Concept Specification Document";"2"
"gemm4_e4b";"1";"Process define the product specification";"uses";"IS Technical Component Production system";"1"
"gemm4_e4b";"1";"Process define the product specification";"uses";"IS Technical Component Version management system";"1"
"gemm4_e4b";"1";"IS Technical Component Production system";"has requirement";"Concept Specification Document";"0"
"gemm4_e4b";"1";"IS Technical Component Version management system";"supports";"Concept Product";"1"
"gemm4_e4b";"1";"Component indoor module";"relates to";"Concept Product";"1"
"gemm4_e4b";"1";"Component outdoor module";"relates to";"Concept Product";"1"
"gemm4_e4b";"1";"Feature energy-efficient";"relates to";"Concept Feature";"2"
"gemm4_e4b";"2";"Goal Providing most energy-efficient heating solution in market";"motivates";"Attribute Energy-efficiency";"2"
"gemm4_e4b";"2";"Goal Providing most energy-efficient heating solution in market";"relates to";"Concept Heat pump";"1"
"gemm4_e4b";"2";"Goal Providing most energy-efficient heating solution in market";"Supports";"Process target setting";"1"
"gemm4_e4b";"2";"Goal Providing most energy-efficient heating solution in market";"motivates";"Feature energy-efficient";"2"
"gemm4_e4b";"2";"Problem Energy consumption of current product version is too high";"motivates";"Process target setting";"1"
"gemm4_e4b";"2";"Problem Energy consumption of current product version is too high";"motivates";"Feature energy-efficient";"1"
"gemm4_e4b";"2";"Goal Minimize energy consumption of heat pump";"requires";"Attribute Energy consumption";"2"
"gemm4_e4b";"2";"Goal Minimize energy consumption of heat pump";"requires";"Process Product design";"1"
"gemm4_e4b";"2";"Goal Minimize energy consumption of heat pump";"motivates";"IS Technical Component Production system";"0"
"gemm4_e4b";"2";"Goal Minimize energy consumption of heat pump";"Supports";"Feature energy-efficient";"1"
"gemm4_e4b";"2";"Goal Produce remaining energy required by heat pump with photovoltaic module";"requires";"Process Product design";"1"
"gemm4_e4b";"2";"Goal Produce remaining energy required by heat pump with photovoltaic module";"motivates";"IS Technical Component Production system";"0"
"gemm4_e4b";"2";"Goal Produce remaining energy required by heat pump with photovoltaic module";"Supports";"Feature Zero-emission energy production";"1"
"gemm4_e4b";"2";"Role Product Owner";"is responsible for";"Feature energy-efficient";"1"
"gemm4_e4b";"2";"Role Product designer";"is responsible for";"Feature energy-efficient";"1"
"gemm4_e4b";"2";"Process target setting";"uses";"Concept Customer Survey";"2"
"gemm4_e4b";"2";"Process target setting";"Output";"Concept Target Feature";"2"
"gemm4_e4b";"2";"Process define the product specification";"uses";"Concept Target Feature";"2"
"gemm4_e4b";"2";"Process define the product specification";"Output";"Concept Specification Document";"2"
"gemm4_e4b";"2";"Process Product design";"uses";"Concept Specification Document";"2"
"gemm4_e4b";"2";"Process Product design";"Output";"Concept Design description";"2"
"gemm4_e4b";"3";"Goal Providing most energy-efficient heating solution in market";"motivates";"Attribute Energy-efficiency";"2"
"gemm4_e4b";"3";"Goal Providing most energy-efficient heating solution in market";"motivates";"Process target setting";"1"
"gemm4_e4b";"3";"Problem Energy consumption of current product version is too high";"Defined by";"Attribute Energy consumption";"2"
"gemm4_e4b";"3";"Problem Energy consumption of current product version is too high";"motivates";"Process target setting";"1"
"gemm4_e4b";"3";"Goal Minimize energy consumption of heat pump";"Supports";"Attribute Energy consumption";"2"
