szenario;modell;phase;modellpaar;startelement;connection;end_element;gruppe
controlled;gemm4_e4b;1;Goal Model -> Concept Model;Goal Providing most energy-efficient heating solution in market;requires;Attribute Energy-efficiency;class_2
controlled;gemm4_e4b;1;Goal Model -> Concept Model;Goal Providing most energy-efficient heating solution in market;requires;Concept Specification Document;class_1
controlled;gemm4_e4b;1;Goal Model -> Concept Model;Goal Providing most energy-efficient heating solution in market;motivates;Concept Target Feature;class_1
controlled;gemm4_e4b;1;Goal Model -> Business Process Model;Goal Providing most energy-efficient heating solution in market;motivates;Process target setting;class_1
controlled;gemm4_e4b;1;Goal Model -> Business Process Model;Goal Providing most energy-efficient heating solution in market;motivates;Process define the product specification;class_1
controlled;gemm4_e4b;1;Goal Model -> Business Process Model;Goal Providing most energy-efficient heating solution in market;requires;Information Set customer survey;class_0
controlled;gemm4_e4b;1;Goal Model -> Business Process Model;Goal Providing most energy-efficient heating solution in market;requires;Information Set target features;class_1
controlled;gemm4_e4b;1;Goal Model -> Business Process Model;Goal Providing most energy-efficient heating solution in market;requires;Information Set specification document;class_1
controlled;gemm4_e4b;1;Goal Model -> Technical Components/Requirements Model;Goal Providing most energy-efficient heating solution in market;motivates;IS Technical Component Production system;connector_class_2
controlled;gemm4_e4b;1;Goal Model -> Technical Components/Requirements Model;Goal Providing most energy-efficient heating solution in market;motivates;IS Technical Component Version management system;connector_class_2
controlled;gemm4_e4b;1;Goal Model -> Product/Service Model;Goal Providing most energy-efficient heating solution in market;Defined by;Feature energy-efficient;class_2
controlled;gemm4_e4b;1;Goal Model -> Concept Model;Problem Energy consumption of current product version is too high;Defined by;Attribute Energy consumption;class_2
controlled;gemm4_e4b;1;Goal Model -> Concept Model;Problem Energy consumption of current product version is too high;requires;Concept Target Feature;class_0
controlled;gemm4_e4b;1;Goal Model -> Concept Model;Problem Energy consumption of current product version is too high;requires;Concept Specification Document;class_0
controlled;gemm4_e4b;1;Goal Model -> Business Process Model;Problem Energy consumption of current product version is too high;motivates;Process target setting;class_1
controlled;gemm4_e4b;1;Goal Model -> Business Process Model;Problem Energy consumption of current product version is too high;motivates;Process define the product specification;class_1
controlled;gemm4_e4b;1;Goal Model -> Business Process Model;Problem Energy consumption of current product version is too high;requires;Information Set target features;class_1
controlled;gemm4_e4b;1;Goal Model -> Business Process Model;Problem Energy consumption of current product version is too high;requires;Information Set specification document;class_1
controlled;gemm4_e4b;1;Goal Model -> Technical Components/Requirements Model;Problem Energy consumption of current product version is too high;motivates;IS Technical Component Production system;class_0
controlled;gemm4_e4b;1;Goal Model -> Technical Components/Requirements Model;Problem Energy consumption of current product version is too high;motivates;IS Technical Component Version management system;class_0
controlled;gemm4_e4b;1;Goal Model -> Product/Service Model;Problem Energy consumption of current product version is too high;Hinders;Feature energy-efficient;class_1
controlled;gemm4_e4b;1;Actors/Resources Model -> Goal Model;Role Product Owner;is responsible for;Goal Providing most energy-efficient heating solution in market;reference
controlled;gemm4_e4b;1;Actors/Resources Model -> Business Process Model;Role Product Owner;performs;Process target setting;reference
controlled;gemm4_e4b;1;Actors/Resources Model -> Business Process Model;Role Product Owner;performs;Process define the product specification;reference
controlled;gemm4_e4b;1;Actors/Resources Model -> Product/Service Model;Role Product Owner;is responsible for;Unspecific/Product/Service Smart Heat;class_2
controlled;gemm4_e4b;1;Actors/Resources Model -> Product/Service Model;Role Product Owner;is responsible for;Feature energy-efficient;class_1
controlled;gemm4_e4b;1;Business Process Model -> Technical Components/Requirements Model;Process target setting;uses;IS Technical Component Production system;class_1
controlled;gemm4_e4b;1;Business Process Model -> Concept Model;Information Set customer survey;Supports;Concept Customer Survey;connector_class_2
controlled;gemm4_e4b;1;Business Process Model -> Concept Model;Information Set target features;Supports;Concept Target Feature;connector_class_2
controlled;gemm4_e4b;1;Business Process Model -> Concept Model;Process define the product specification;creates;Concept Product;class_0
controlled;gemm4_e4b;1;Business Process Model -> Concept Model;Process define the product specification;Output;Concept Specification Document;class_2
controlled;gemm4_e4b;1;Business Process Model -> Technical Components/Requirements Model;Process define the product specification;uses;IS Technical Component Production system;class_1
controlled;gemm4_e4b;1;Business Process Model -> Technical Components/Requirements Model;Process define the product specification;uses;IS Technical Component Version management system;class_1
controlled;gemm4_e4b;1;Business Process Model -> Concept Model;Information Set specification document;Supports;Concept Specification Document;connector_class_2
controlled;gemm4_e4b;1;Technical Components/Requirements Model -> Concept Model;IS Technical Component Production system;has requirement;Concept Specification Document;class_0
controlled;gemm4_e4b;1;Technical Components/Requirements Model -> Concept Model;IS Technical Component Version management system;supports;Concept Product;class_1
controlled;gemm4_e4b;1;Product/Service Model -> Concept Model;Unspecific/Product/Service Smart Heat;relates to;Concept Product;reference
controlled;gemm4_e4b;1;Product/Service Model -> Concept Model;Component indoor module;relates to;Concept Product;class_1
controlled;gemm4_e4b;1;Product/Service Model -> Concept Model;Component outdoor module;relates to;Concept Product;class_1
controlled;gemm4_e4b;1;Product/Service Model -> Concept Model;Feature energy-efficient;relates to;Concept Feature;class_2
controlled;gemm4_e4b;2;Goal Model -> Concept Model;Goal Providing most energy-efficient heating solution in market;motivates;Attribute Energy-efficiency;class_2
controlled;gemm4_e4b;2;Goal Model -> Concept Model;Goal Providing most energy-efficient heating solution in market;relates to;Concept Heat pump;class_1
controlled;gemm4_e4b;2;Goal Model -> Business Process Model;Goal Providing most energy-efficient heating solution in market;Supports;Process target setting;class_1
controlled;gemm4_e4b;2;Goal Model -> Technical Components/Requirements Model;Goal Providing most energy-efficient heating solution in market;motivates;IS Technical Component Production system;connector_class_2
controlled;gemm4_e4b;2;Goal Model -> Product/Service Model;Goal Providing most energy-efficient heating solution in market;motivates;Feature energy-efficient;class_2
controlled;gemm4_e4b;2;Goal Model -> Business Process Model;Problem Energy consumption of current product version is too high;motivates;Process target setting;class_1
controlled;gemm4_e4b;2;Goal Model -> Product/Service Model;Problem Energy consumption of current product version is too high;motivates;Feature energy-efficient;class_1
controlled;gemm4_e4b;2;Goal Model -> Concept Model;Goal Minimize energy consumption of heat pump;requires;Attribute Energy consumption;class_2
controlled;gemm4_e4b;2;Goal Model -> Business Process Model;Goal Minimize energy consumption of heat pump;requires;Process Product design;class_1
controlled;gemm4_e4b;2;Goal Model -> Technical Components/Requirements Model;Goal Minimize energy consumption of heat pump;motivates;IS Technical Component Production system;class_0
controlled;gemm4_e4b;2;Goal Model -> Product/Service Model;Goal Minimize energy consumption of heat pump;Supports;Feature energy-efficient;class_1
controlled;gemm4_e4b;2;Goal Model -> Concept Model;Goal Produce remaining energy required by heat pump with photovoltaic module;motivates;Concept Zero-emission energy production;connector_class_2
controlled;gemm4_e4b;2;Goal Model -> Business Process Model;Goal Produce remaining energy required by heat pump with photovoltaic module;requires;Process Product design;class_1
controlled;gemm4_e4b;2;Goal Model -> Technical Components/Requirements Model;Goal Produce remaining energy required by heat pump with photovoltaic module;motivates;IS Technical Component Production system;class_0
controlled;gemm4_e4b;2;Goal Model -> Product/Service Model;Goal Produce remaining energy required by heat pump with photovoltaic module;Supports;Feature Zero-emission energy production;class_1
