"modell";"phase";"startelement";"connection";"end_element";"klassifikation"
"gemm4_e4b";"1";"Goal Providing most energy-efficient heating solution in market";"motivates";"Attribute Energy-efficiency";"2"
"gemm4_e4b";"1";"Goal Providing most energy-efficient heating solution in market";"requires";"Concept Target Feature";"1"
"gemm4_e4b";"1";"Goal Providing most energy-efficient heating solution in market";"motivates";"Process define the product specification";"1"
"gemm4_e4b";"1";"Goal Providing most energy-efficient heating solution in market";"requires";"Feature energy-efficient";"2"
"gemm4_e4b";"1";"Problem Energy consumption of current product version is too high";"relates to";"Attribute Energy consumption";"2"
"gemm4_e4b";"1";"Problem Energy consumption of current product version is too high";"motivates";"Concept Target Feature";"1"
"gemm4_e4b";"1";"Problem Energy consumption of current product version is too high";"motivates";"Process target setting";"1"
"gemm4_e4b";"1";"Problem Energy consumption of current product version is too high";"motivates";"Information Set target features";"1"
"gemm4_e4b";"1";"Problem Energy consumption of current product version is too high";"Hinders";"IS Technical Component Production system";"0"
"gemm4_e4b";"1";"Problem Energy consumption of current product version is too high";"motivates";"Feature energy-efficient";"1"
"gemm4_e4b";"1";"Role Product Owner";"is responsible for";"Unspecific/Product/Service Smart Heat";"2"
"gemm4_e4b";"1";"Organizational Unit Product development department";"is responsible for";"Goal Providing most energy-efficient heating solution in market";"0"
"gemm4_e4b";"1";"Organizational Unit Product development department";"is responsible for";"Problem Energy consumption of current product version is too high";"0"
"gemm4_e4b";"1";"Organizational Unit Product development department";"performs";"Process target setting";"1"
"gemm4_e4b";"1";"Organizational Unit Product development department";"performs";"Process define the product specification";"1"
"gemm4_e4b";"1";"IS Technical Component Production system";"supports";"Concept Product";"1"
"gemm4_e4b";"1";"IS Technical Component Production system";"supports";"Concept Specification Document";"1"
"gemm4_e4b";"1";"IS Technical Component Production system";"has requirement";"Concept Target Feature";"0"
"gemm4_e4b";"1";"IS Technical Component Version management system";"supports";"Concept Product";"1"
"gemm4_e4b";"1";"IS Technical Component Version management system";"supports";"Attribute Version";"1"
"gemm4_e4b";"2";"Goal Providing most energy-efficient heating solution in market";"Supports";"Attribute Energy-efficiency";"2"
"gemm4_e4b";"2";"Goal Providing most energy-efficient heating solution in market";"relates to";"Concept Heat pump";"1"
"gemm4_e4b";"2";"Goal Providing most energy-efficient heating solution in market";"motivates";"Process target setting";"1"
"gemm4_e4b";"2";"Goal Providing most energy-efficient heating solution in market";"Supports";"Feature energy-efficient";"2"
"gemm4_e4b";"2";"Problem Energy consumption of current product version is too high";"Defined by";"Attribute Energy consumption";"2"
"gemm4_e4b";"2";"Problem Energy consumption of current product version is too high";"motivates";"Process target setting";"1"
"gemm4_e4b";"2";"Problem Energy consumption of current product version is too high";"motivates";"IS Technical Component Production system";"0"
"gemm4_e4b";"2";"Problem Energy consumption of current product version is too high";"Hinders";"Feature energy-efficient";"1"
"gemm4_e4b";"2";"Goal Minimize energy consumption of heat pump";"requires";"Attribute Energy consumption";"2"
"gemm4_e4b";"2";"Goal Minimize energy consumption of heat pump";"requires";"Process define the product specification";"1"
"gemm4_e4b";"2";"Goal Minimize energy consumption of heat pump";"Supports";"IS Technical Component Production system";"0"
"gemm4_e4b";"2";"Goal Minimize energy consumption of heat pump";"Supports";"Feature energy-efficient";"1"
